question,sql
Find all records in products where price = 10,SELECT * FROM products WHERE price = 10;
Show all employees,SELECT * FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
List all marks from students,SELECT marks FROM students;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Show all orders,SELECT * FROM orders;
Find average stock in products,SELECT AVG(stock) FROM products;
List all id from employees,SELECT id FROM employees;
Find all records in employees where name > 70,SELECT * FROM employees WHERE name > 70;
Show all employees,SELECT * FROM employees;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find average department in students,SELECT AVG(department) FROM students;
Find minimum age in students,SELECT MIN(age) FROM students;
Find average membership in customers,SELECT AVG(membership) FROM customers;
List all price from products,SELECT price FROM products;
Find average marks in students,SELECT AVG(marks) FROM students;
Show stock from products where category > 30,SELECT stock FROM products WHERE category > 30;
List all id from students,SELECT id FROM students;
Show all products,SELECT * FROM products;
Find maximum department in employees,SELECT MAX(department) FROM employees;
List all department from employees,SELECT department FROM employees;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all products,SELECT * FROM products;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Show all products,SELECT * FROM products;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Find average date in orders,SELECT AVG(date) FROM orders;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Find all records in products where stock = 80,SELECT * FROM products WHERE stock = 80;
Find all records in orders where amount < 50,SELECT * FROM orders WHERE amount < 50;
Find average age in employees,SELECT AVG(age) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
List all category from products,SELECT category FROM products;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find average marks in students,SELECT AVG(marks) FROM students;
Find minimum name in students,SELECT MIN(name) FROM students;
List all stock from products,SELECT stock FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
Show id from employees where salary >= 80,SELECT id FROM employees WHERE salary >= 80;
List all age from employees,SELECT age FROM employees;
Show all orders,SELECT * FROM orders;
Show name from students where id = 60,SELECT name FROM students WHERE id = 60;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Find average status in orders,SELECT AVG(status) FROM orders;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find all records in students where id < 50,SELECT * FROM students WHERE id < 50;
List all id from employees,SELECT id FROM employees;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Show all products,SELECT * FROM products;
Show all customers,SELECT * FROM customers;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find all records in students where marks <= 60,SELECT * FROM students WHERE marks <= 60;
Find all records in products where product_id > 60,SELECT * FROM products WHERE product_id > 60;
Show all employees,SELECT * FROM employees;
List all id from employees,SELECT id FROM employees;
Find average name in customers,SELECT AVG(name) FROM customers;
Find average stock in products,SELECT AVG(stock) FROM products;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Show all customers,SELECT * FROM customers;
Show all orders,SELECT * FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
Find all records in students where id = 60,SELECT * FROM students WHERE id = 60;
Find maximum marks in students,SELECT MAX(marks) FROM students;
List all age from employees,SELECT age FROM employees;
List all name from products,SELECT name FROM products;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all employees,SELECT * FROM employees;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find all records in products where name < 30,SELECT * FROM products WHERE name < 30;
Find all records in customers where membership = 40,SELECT * FROM customers WHERE membership = 40;
Show city from customers where membership >= 70,SELECT city FROM customers WHERE membership >= 70;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Find all records in employees where department > 100,SELECT * FROM employees WHERE department > 100;
Show date from orders where order_id >= 80,SELECT date FROM orders WHERE order_id >= 80;
Show amount from orders where order_id = 70,SELECT amount FROM orders WHERE order_id = 70;
Find minimum id in students,SELECT MIN(id) FROM students;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Find average age in students,SELECT AVG(age) FROM students;
List all id from employees,SELECT id FROM employees;
Find all records in orders where order_id = 50,SELECT * FROM orders WHERE order_id = 50;
Find all records in employees where id > 20,SELECT * FROM employees WHERE id > 20;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Show age from employees where id >= 80,SELECT age FROM employees WHERE id >= 80;
List all customer_id from orders,SELECT customer_id FROM orders;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Show all orders,SELECT * FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find average name in students,SELECT AVG(name) FROM students;
List all department from students,SELECT department FROM students;
Find minimum name in products,SELECT MIN(name) FROM products;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Show id from students where age < 20,SELECT id FROM students WHERE age < 20;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find maximum age in students,SELECT MAX(age) FROM students;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find maximum name in products,SELECT MAX(name) FROM products;
Find all records in products where price <= 10,SELECT * FROM products WHERE price <= 10;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Show age from employees where name < 50,SELECT age FROM employees WHERE name < 50;
Find average name in employees,SELECT AVG(name) FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
List all id from students,SELECT id FROM students;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Find all records in products where category >= 90,SELECT * FROM products WHERE category >= 90;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Find minimum name in products,SELECT MIN(name) FROM products;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Show all customers,SELECT * FROM customers;
Show all orders,SELECT * FROM orders;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Show all students,SELECT * FROM students;
Show all employees,SELECT * FROM employees;
Show all orders,SELECT * FROM orders;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
List all age from customers,SELECT age FROM customers;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
List all department from students,SELECT department FROM students;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Find average name in products,SELECT AVG(name) FROM products;
Show customer_id from customers where membership < 70,SELECT customer_id FROM customers WHERE membership < 70;
Find all records in products where category > 40,SELECT * FROM products WHERE category > 40;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
List all status from orders,SELECT status FROM orders;
Find average name in products,SELECT AVG(name) FROM products;
Find all records in orders where customer_id >= 10,SELECT * FROM orders WHERE customer_id >= 10;
Show all employees,SELECT * FROM employees;
List all price from products,SELECT price FROM products;
Show name from students where id = 50,SELECT name FROM students WHERE id = 50;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Find all records in orders where date >= 80,SELECT * FROM orders WHERE date >= 80;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find maximum marks in students,SELECT MAX(marks) FROM students;
Show order_id from orders where order_id = 30,SELECT order_id FROM orders WHERE order_id = 30;
Show all students,SELECT * FROM students;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find all records in orders where amount <= 60,SELECT * FROM orders WHERE amount <= 60;
Show marks from students where id = 50,SELECT marks FROM students WHERE id = 50;
Find average marks in students,SELECT AVG(marks) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Show all students,SELECT * FROM students;
Find average department in students,SELECT AVG(department) FROM students;
Find all records in customers where city >= 50,SELECT * FROM customers WHERE city >= 50;
List all salary from employees,SELECT salary FROM employees;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Find all records in products where price = 30,SELECT * FROM products WHERE price = 30;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Show stock from products where name <= 70,SELECT stock FROM products WHERE name <= 70;
List all city from customers,SELECT city FROM customers;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
List all product_id from products,SELECT product_id FROM products;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Find average id in employees,SELECT AVG(id) FROM employees;
Find average age in students,SELECT AVG(age) FROM students;
List all stock from products,SELECT stock FROM products;
Show name from products where product_id > 30,SELECT name FROM products WHERE product_id > 30;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Show amount from orders where date <= 40,SELECT amount FROM orders WHERE date <= 40;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Show all orders,SELECT * FROM orders;
Find all records in customers where city = 60,SELECT * FROM customers WHERE city = 60;
List all department from employees,SELECT department FROM employees;
Find all records in orders where order_id <= 90,SELECT * FROM orders WHERE order_id <= 90;
Find average name in employees,SELECT AVG(name) FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find all records in students where id < 60,SELECT * FROM students WHERE id < 60;
List all amount from orders,SELECT amount FROM orders;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show all students,SELECT * FROM students;
Find all records in students where id <= 70,SELECT * FROM students WHERE id <= 70;
Find maximum name in products,SELECT MAX(name) FROM products;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Find minimum date in orders,SELECT MIN(date) FROM orders;
List all stock from products,SELECT stock FROM products;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show amount from orders where order_id > 20,SELECT amount FROM orders WHERE order_id > 20;
List all city from customers,SELECT city FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in students where id >= 10,SELECT * FROM students WHERE id >= 10;
Find maximum id in students,SELECT MAX(id) FROM students;
Find average age in students,SELECT AVG(age) FROM students;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find average marks in students,SELECT AVG(marks) FROM students;
List all order_id from orders,SELECT order_id FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find average department in students,SELECT AVG(department) FROM students;
Find minimum age in students,SELECT MIN(age) FROM students;
Show amount from orders where order_id = 30,SELECT amount FROM orders WHERE order_id = 30;
Show product_id from products where category > 80,SELECT product_id FROM products WHERE category > 80;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Show all orders,SELECT * FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find all records in employees where name < 10,SELECT * FROM employees WHERE name < 10;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Find average id in students,SELECT AVG(id) FROM students;
Find average city in customers,SELECT AVG(city) FROM customers;
List all amount from orders,SELECT amount FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Show all students,SELECT * FROM students;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all students,SELECT * FROM students;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Show customer_id from customers where customer_id = 20,SELECT customer_id FROM customers WHERE customer_id = 20;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show date from orders where status = 60,SELECT date FROM orders WHERE status = 60;
Find all records in orders where customer_id >= 100,SELECT * FROM orders WHERE customer_id >= 100;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find average age in employees,SELECT AVG(age) FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Show all students,SELECT * FROM students;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find all records in students where age <= 50,SELECT * FROM students WHERE age <= 50;
List all amount from orders,SELECT amount FROM orders;
Show all students,SELECT * FROM students;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find minimum category in products,SELECT MIN(category) FROM products;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find maximum marks in students,SELECT MAX(marks) FROM students;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
List all id from employees,SELECT id FROM employees;
Find all records in employees where age = 50,SELECT * FROM employees WHERE age = 50;
Show all orders,SELECT * FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
List all order_id from orders,SELECT order_id FROM orders;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Show all customers,SELECT * FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all id from students,SELECT id FROM students;
Find maximum name in products,SELECT MAX(name) FROM products;
Show all employees,SELECT * FROM employees;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Show all orders,SELECT * FROM orders;
List all customer_id from orders,SELECT customer_id FROM orders;
Show age from employees where department > 50,SELECT age FROM employees WHERE department > 50;
Find average name in customers,SELECT AVG(name) FROM customers;
Show department from employees where department = 40,SELECT department FROM employees WHERE department = 40;
Show status from orders where customer_id > 30,SELECT status FROM orders WHERE customer_id > 30;
Count all rows in products,SELECT COUNT(*) FROM products;
Show department from students where name >= 80,SELECT department FROM students WHERE name >= 80;
Show price from products where stock >= 100,SELECT price FROM products WHERE stock >= 100;
Show all students,SELECT * FROM students;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Find all records in students where id < 80,SELECT * FROM students WHERE id < 80;
Show age from students where id = 50,SELECT age FROM students WHERE id = 50;
Show all students,SELECT * FROM students;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find minimum name in products,SELECT MIN(name) FROM products;
Find all records in products where product_id >= 90,SELECT * FROM products WHERE product_id >= 90;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Find average name in products,SELECT AVG(name) FROM products;
Find all records in products where name = 70,SELECT * FROM products WHERE name = 70;
Find all records in orders where amount >= 70,SELECT * FROM orders WHERE amount >= 70;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
List all name from employees,SELECT name FROM employees;
List all customer_id from orders,SELECT customer_id FROM orders;
Find all records in students where marks <= 40,SELECT * FROM students WHERE marks <= 40;
Show all orders,SELECT * FROM orders;
Find all records in products where product_id < 100,SELECT * FROM products WHERE product_id < 100;
List all customer_id from customers,SELECT customer_id FROM customers;
Find average id in students,SELECT AVG(id) FROM students;
Find minimum department in students,SELECT MIN(department) FROM students;
Find all records in employees where id <= 90,SELECT * FROM employees WHERE id <= 90;
Show all employees,SELECT * FROM employees;
Find minimum id in students,SELECT MIN(id) FROM students;
List all stock from products,SELECT stock FROM products;
Find all records in students where age <= 20,SELECT * FROM students WHERE age <= 20;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Show all orders,SELECT * FROM orders;
List all stock from products,SELECT stock FROM products;
Find average department in students,SELECT AVG(department) FROM students;
Show all customers,SELECT * FROM customers;
Find all records in employees where department >= 50,SELECT * FROM employees WHERE department >= 50;
Find average marks in students,SELECT AVG(marks) FROM students;
Show all students,SELECT * FROM students;
Show all employees,SELECT * FROM employees;
Show all orders,SELECT * FROM orders;
List all price from products,SELECT price FROM products;
Find average name in employees,SELECT AVG(name) FROM employees;
Find maximum category in products,SELECT MAX(category) FROM products;
Find average age in customers,SELECT AVG(age) FROM customers;
Find all records in employees where department = 10,SELECT * FROM employees WHERE department = 10;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find minimum age in students,SELECT MIN(age) FROM students;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Show all customers,SELECT * FROM customers;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find all records in employees where department < 10,SELECT * FROM employees WHERE department < 10;
Show price from products where category = 90,SELECT price FROM products WHERE category = 90;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Show id from students where age = 60,SELECT id FROM students WHERE age = 60;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find maximum category in products,SELECT MAX(category) FROM products;
Find all records in customers where age >= 20,SELECT * FROM customers WHERE age >= 20;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show customer_id from orders where status = 30,SELECT customer_id FROM orders WHERE status = 30;
Find all records in students where department = 50,SELECT * FROM students WHERE department = 50;
Show salary from employees where id <= 90,SELECT salary FROM employees WHERE id <= 90;
Find average stock in products,SELECT AVG(stock) FROM products;
Find average name in customers,SELECT AVG(name) FROM customers;
List all age from students,SELECT age FROM students;
List all amount from orders,SELECT amount FROM orders;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Find maximum id in students,SELECT MAX(id) FROM students;
Show all customers,SELECT * FROM customers;
Find all records in employees where id = 20,SELECT * FROM employees WHERE id = 20;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find all records in employees where name >= 80,SELECT * FROM employees WHERE name >= 80;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Show product_id from products where stock < 60,SELECT product_id FROM products WHERE stock < 60;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
List all id from employees,SELECT id FROM employees;
Show name from products where product_id <= 10,SELECT name FROM products WHERE product_id <= 10;
Find all records in products where product_id <= 50,SELECT * FROM products WHERE product_id <= 50;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show customer_id from customers where city >= 60,SELECT customer_id FROM customers WHERE city >= 60;
List all name from employees,SELECT name FROM employees;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find all records in orders where amount > 30,SELECT * FROM orders WHERE amount > 30;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show customer_id from customers where city = 90,SELECT customer_id FROM customers WHERE city = 90;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find all records in orders where amount < 10,SELECT * FROM orders WHERE amount < 10;
List all name from customers,SELECT name FROM customers;
Find all records in orders where amount >= 10,SELECT * FROM orders WHERE amount >= 10;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find all records in students where age >= 30,SELECT * FROM students WHERE age >= 30;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Show id from employees where salary >= 10,SELECT id FROM employees WHERE salary >= 10;
Show status from orders where status <= 70,SELECT status FROM orders WHERE status <= 70;
Show age from students where id < 40,SELECT age FROM students WHERE id < 40;
Find average price in products,SELECT AVG(price) FROM products;
Find average department in students,SELECT AVG(department) FROM students;
Find average date in orders,SELECT AVG(date) FROM orders;
Show all employees,SELECT * FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find all records in employees where age < 10,SELECT * FROM employees WHERE age < 10;
Find average price in products,SELECT AVG(price) FROM products;
Show all orders,SELECT * FROM orders;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show all students,SELECT * FROM students;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Show status from orders where date <= 10,SELECT status FROM orders WHERE date <= 10;
Find minimum age in employees,SELECT MIN(age) FROM employees;
List all amount from orders,SELECT amount FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Find minimum department in students,SELECT MIN(department) FROM students;
Find average name in students,SELECT AVG(name) FROM students;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Find minimum department in students,SELECT MIN(department) FROM students;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum age in students,SELECT MIN(age) FROM students;
Find minimum department in students,SELECT MIN(department) FROM students;
List all amount from orders,SELECT amount FROM orders;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Find minimum category in products,SELECT MIN(category) FROM products;
Find all records in customers where customer_id <= 10,SELECT * FROM customers WHERE customer_id <= 10;
Find average status in orders,SELECT AVG(status) FROM orders;
List all name from customers,SELECT name FROM customers;
Find all records in employees where salary = 10,SELECT * FROM employees WHERE salary = 10;
Count all rows in products,SELECT COUNT(*) FROM products;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find maximum name in customers,SELECT MAX(name) FROM customers;
Find minimum id in students,SELECT MIN(id) FROM students;
Find maximum name in products,SELECT MAX(name) FROM products;
Find average status in orders,SELECT AVG(status) FROM orders;
Show all students,SELECT * FROM students;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
List all category from products,SELECT category FROM products;
Show product_id from products where price = 80,SELECT product_id FROM products WHERE price = 80;
Find maximum name in students,SELECT MAX(name) FROM students;
Show age from employees where id = 70,SELECT age FROM employees WHERE id = 70;
List all customer_id from orders,SELECT customer_id FROM orders;
Find all records in products where price <= 20,SELECT * FROM products WHERE price <= 20;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Find all records in customers where city >= 100,SELECT * FROM customers WHERE city >= 100;
Find maximum age in students,SELECT MAX(age) FROM students;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Show name from products where price >= 60,SELECT name FROM products WHERE price >= 60;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in products where category >= 10,SELECT * FROM products WHERE category >= 10;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Show id from students where department <= 60,SELECT id FROM students WHERE department <= 60;
List all product_id from products,SELECT product_id FROM products;
Find maximum department in students,SELECT MAX(department) FROM students;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Show all customers,SELECT * FROM customers;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Show all customers,SELECT * FROM customers;
Show all orders,SELECT * FROM orders;
Find all records in products where price <= 40,SELECT * FROM products WHERE price <= 40;
Show all products,SELECT * FROM products;
Show age from students where id = 70,SELECT age FROM students WHERE id = 70;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Show all employees,SELECT * FROM employees;
Show all products,SELECT * FROM products;
Show all orders,SELECT * FROM orders;
Show age from employees where age >= 30,SELECT age FROM employees WHERE age >= 30;
Show all products,SELECT * FROM products;
Find all records in products where name < 20,SELECT * FROM products WHERE name < 20;
Find all records in employees where department <= 100,SELECT * FROM employees WHERE department <= 100;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Find all records in products where name > 100,SELECT * FROM products WHERE name > 100;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show all students,SELECT * FROM students;
Show salary from employees where department > 50,SELECT salary FROM employees WHERE department > 50;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Find average status in orders,SELECT AVG(status) FROM orders;
List all price from products,SELECT price FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
Show salary from employees where id < 20,SELECT salary FROM employees WHERE id < 20;
Show price from products where price >= 10,SELECT price FROM products WHERE price >= 10;
List all salary from employees,SELECT salary FROM employees;
Find all records in employees where department <= 30,SELECT * FROM employees WHERE department <= 30;
Find average department in employees,SELECT AVG(department) FROM employees;
Find average stock in products,SELECT AVG(stock) FROM products;
Find all records in employees where name = 10,SELECT * FROM employees WHERE name = 10;
Show age from customers where membership >= 60,SELECT age FROM customers WHERE membership >= 60;
Show age from students where department < 80,SELECT age FROM students WHERE department < 80;
List all amount from orders,SELECT amount FROM orders;
List all salary from employees,SELECT salary FROM employees;
Find maximum name in students,SELECT MAX(name) FROM students;
Find all records in products where stock <= 60,SELECT * FROM products WHERE stock <= 60;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
List all date from orders,SELECT date FROM orders;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find average name in students,SELECT AVG(name) FROM students;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Find all records in products where price = 10,SELECT * FROM products WHERE price = 10;
Show status from orders where order_id <= 30,SELECT status FROM orders WHERE order_id <= 30;
Find all records in orders where customer_id <= 50,SELECT * FROM orders WHERE customer_id <= 50;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
